Game_id,Day,Home_ID,Away_ID,Home_pts,Away_pts,Spread,Home_oreb,Away_oreb,Home_FGPct,Away_FGPct,Home_3Pct,Away_3Pct,Home_Steals,Away_Steals,Home_TPG,Away_TPG,Home_TSG,Away_TSG,Home_TOG,Away_TOG,Home_PPG,Away_PPG,Home_SPG,Away_STG,Home_OPG,Away_OPG
22200106,15,1610612756,1610612750,116,107,9,7,10,0.461,0.425,0.395348837,0.382352941,9,5,712,806,47,60,68,87,94.5,103.875,7.125,6.875,8.125,9.125
22200105,15,1610612760,1610612753,116,108,8,8,12,0.474,0.448,0.294117647,0.344827586,13,7,674,739,54,41,80,71,101.7142857,100.75,6.714285714,7.5,9.714285714,10.875
22200107,16,1610612739,1610612738,114,113,1,9,8,0.42,0.409,0.282051282,0.268292683,6,5,706,700,33,35,61,48,96.28571429,92.375,7.714285714,5.125,11.42857143,8.875
22200112,16,1610612745,1610612746,101,109,-8,16,9,0.42,0.488,0.289473684,0.363636364,9,10,862,699,57,46,111,57,100.8571429,100,4.714285714,5,8.714285714,6.857142857
22200117,16,1610612747,1610612740,120,117,3,11,11,0.459,0.461,0.277777778,0.32,6,10,632,711,55,52,59,75,95.77777778,87.375,6.333333333,5.75,12.33333333,7.125
22200110,16,1610612752,1610612737,99,112,-13,12,17,0.411,0.411,0.277777778,0.352941176,3,11,707,812,38,47,84,68,90.28571429,101.5714286,7.857142857,7.428571429,8.428571429,10.71428571
22200109,16,1610612748,1610612758,110,107,3,9,4,0.494,0.477,0.323529412,0.361111111,5,4,872,871,64,65,74,75,101,101.5,5.428571429,5.875,12,8.5
22200114,16,1610612759,1610612761,100,143,-43,13,9,0.394,0.538,0.325581395,0.424242424,3,16,826,768,52,70,83,71,96.88888889,124.4285714,7.111111111,9.285714286,8.222222222,10.71428571
22200115,16,1610612742,1610612762,103,100,3,7,12,0.5,0.464,0.289473684,0.333333333,9,6,707,940,47,78,55,103,103.25,96,6.5,8.75,10.375,8.875
22200116,16,1610612757,1610612763,106,111,-5,16,10,0.404,0.458,0.393939394,0.464285714,5,7,692,827,46,49,68,94,101,104.4444444,6.714285714,8.666666667,7.857142857,11.44444444
22200108,16,1610612755,1610612764,111,121,-10,6,7,0.464,0.577,0.527777778,0.238095238,3,4,883,765,67,47,52,65,98.85714286,103.375,6.571428571,6.125,9.714285714,11.75
22200113,16,1610612749,1610612765,116,91,25,15,2,0.467,0.418,0.263157895,0.35483871,17,7,677,894,39,47,76,102,98.11111111,95.625,7.444444444,5.875,5.777777778,8.125
22200111,16,1610612741,1610612766,106,88,18,11,13,0.432,0.391,0.451612903,0.21875,6,12,897,819,74,48,90,79,96.71428571,99.33333333,5.571428571,5.222222222,10.85714286,11.33333333
22200118,17,1610612753,1610612744,130,129,1,11,9,0.538,0.515,0.433333333,0.441860465,9,5,847,940,48,63,83,83,99.66666667,102.375,8.222222222,6,10,9.875
22200119,17,1610612760,1610612743,110,122,-12,10,8,0.484,0.536,0.206896552,0.580645161,9,5,790,799,67,46,88,80,94.11111111,104.4444444,5.333333333,7,9.222222222,9.222222222
22200124,18,1610612738,1610612741,123,119,4,7,4,0.494,0.518,0.290322581,0.392857143,5,8,813,1003,40,80,56,101,98.75,99.875,8.375,5.75,11,10
22200128,18,1610612740,1610612744,114,105,9,9,3,0.506,0.493,0.413793103,0.375,10,7,828,1069,62,68,86,92,101.625,100.3,5,8,7,10.1
22200129,18,1610612750,1610612749,102,115,-13,10,7,0.424,0.482,0.268292683,0.447368421,2,7,793,913,56,65,91,97,103.5,106.9,7.75,6.8,10.75,9.2
22200121,18,1610612754,1610612748,101,99,2,5,8,0.463,0.383,0.307692308,0.282051282,7,10,941,982,52,69,98,83,88.11111111,114.125,6.222222222,8.125,10.11111111,12.125
22200122,18,1610612755,1610612752,104,106,-2,13,10,0.378,0.463,0.276595745,0.272727273,12,5,994,806,70,41,58,96,104.5555556,98.2,5.777777778,6.9,10.88888889,8.3
22200130,18,1610612756,1610612757,106,108,-2,13,11,0.434,0.506,0.411764706,0.434782609,8,6,828,798,56,51,75,84,99.4,100.75,7,5.125,5.8,12
22200126,18,1610612759,1610612746,106,113,-7,6,3,0.477,0.525,0.387096774,0.454545455,7,6,926,808,55,56,96,66,103.5,99.75,7,6.375,9.375,10.5
22200127,18,1610612742,1610612761,111,110,1,6,18,0.506,0.443,0.352941176,0.323529412,12,10,810,911,56,86,62,80,102.8888889,89.77777778,6.111111111,6.222222222,10.66666667,7.333333333
22200131,18,1610612747,1610612762,116,130,-14,9,15,0.482,0.505,0.423076923,0.425,6,8,752,1040,61,84,70,115,101.25,101.2222222,7,9.555555556,7.75,8.888888889
22200123,18,1610612764,1610612751,86,128,-42,7,7,0.361,0.556,0.235294118,0.5,4,8,886,896,51,55,72,67,94,104,7.625,8.4,8.75,11.5
22200120,18,1610612765,1610612739,88,112,-24,9,10,0.373,0.543,0.351351351,0.423076923,10,5,985,820,54,39,104,70,98.44444444,99.55555556,5.666666667,6.111111111,8,7.444444444
22200125,18,1610612763,1610612766,130,99,31,18,12,0.51,0.384,0.444444444,0.296296296,6,11,938,907,56,60,104,92,98.5,102.5,5.4,4.875,10.4,8.75
22200134,19,1610612737,1610612740,124,121,3,12,19,0.456,0.435,0.25,0.304347826,12,8,924,942,58,72,85,95,104.2222222,100.7777778,6.222222222,6.666666667,11.55555556,10.22222222
22200137,19,1610612750,1610612745,129,117,12,9,12,0.613,0.476,0.454545455,0.421052632,11,10,895,963,58,66,101,127,102.6666667,104.6666667,6.444444444,8,9.444444444,10.55555556
22200135,19,1610612752,1610612738,118,133,-15,12,8,0.511,0.534,0.407407407,0.529411765,6,5,912,936,46,45,106,63,89.5,96.3,5.8,6.6,10.1,12.7
22200139,19,1610612756,1610612757,102,82,20,11,8,0.427,0.38,0.366666667,0.466666667,7,5,934,906,64,57,88,95,101.3333333,104,5.111111111,5,11.77777778,7
22200132,19,1610612753,1610612758,123,126,-3,7,6,0.543,0.505,0.173913043,0.375,8,5,977,978,57,69,94,79,103.7777778,100.6666667,7.111111111,6.333333333,9.777777778,10.55555556
22200138,19,1610612743,1610612759,126,101,25,10,6,0.609,0.488,0.517241379,0.4,10,8,921,1032,51,62,88,102,97.7,122.25,5.7,8.625,9.4,9.875
22200136,19,1610612749,1610612760,108,94,14,18,9,0.422,0.429,0.361702128,0.342857143,7,6,908,900,63,76,98,98,102.3333333,103.2,5.666666667,6.2,9.777777778,10.2
22200133,19,1610612766,1610612751,94,98,-4,13,9,0.372,0.393,0.333333333,0.333333333,3,8,1006,1024,71,63,104,74,100.8888889,100,7,8.444444444,10.88888889,10.88888889
22200140,20,1610612747,1610612739,100,114,-14,10,9,0.46,0.44,0.296296296,0.25,4,7,868,932,67,44,79,80,100.6,102.4,7.1,6.3,10.4,7.4
22200141,20,1610612761,1610612741,113,104,9,23,15,0.427,0.455,0.27027027,0.361111111,11,5,1021,1122,96,88,98,105,96.44444444,103.5555556,7.444444444,4.888888889,8.777777778,8.888888889
22200143,20,1610612746,1610612762,102,110,-8,4,7,0.494,0.467,0.242424242,0.375,11,5,921,1170,62,92,69,130,102.1,102,9.6,8,9.8,9.545454545
22200142,20,1610612763,1610612764,103,97,6,12,15,0.429,0.427,0.310344828,0.195121951,8,5,1068,972,62,55,122,79,92.1,106.3636364,6.2,8.363636364,6.9,11.81818182
22200158,21,1610612746,1610612739,119,117,2,4,10,0.506,0.518,0.447368421,0.484848485,8,6,1023,1046,73,51,73,89,106.8,97.2,6.2,5.5,12.2,7.9
22200149,21,1610612737,1610612749,117,98,19,12,6,0.465,0.414,0.379310345,0.325,11,5,1048,1016,70,70,97,116,93,104.6,6.636363636,5.1,6.636363636,8.9
22200155,21,1610612742,1610612751,96,94,2,12,14,0.444,0.438,0.428571429,0.344827586,7,13,921,1122,68,71,68,83,104.8,101.6,7,7,9.7,11.6
22200153,21,1610612750,1610612752,107,120,-13,4,9,0.469,0.438,0.268292683,0.395833333,7,13,1024,1030,69,52,110,118,102.3333333,102,7.555555556,6.454545455,7.555555556,7.545454545
