"Game_id","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Matchup_ID"
22200643,1610612754,1610612763,112,130,-18,16,7,5463
22200644,1610612761,1610612737,103,114,-11,11,5,3761
22200645,1610612750,1610612739,110,102,8,4,8,3950
22200647,1610612757,1610612742,136,119,17,10,2,4257
22200646,1610612762,1610612755,117,118,-1,10,9,5562
22200648,1610612765,1610612752,104,117,-13,9,18,5265
22200651,1610612751,1610612760,102,112,-10,14,11,5160
22200652,1610612759,1610612758,119,132,-13,11,7,5859
22200650,1610612741,1610612744,132,118,14,7,7,4144
22200653,1610612743,1610612753,119,116,3,12,10,4353
22200654,1610612757,1610612742,140,123,17,8,13,4257
22200655,1610612747,1610612755,112,113,-1,4,5,4755
22200649,1610612746,1610612745,121,100,21,11,10,4546
22200661,1610612737,1610612748,121,113,8,2,12,3748
22200664,1610612747,1610612745,140,132,8,9,17,4547
22200663,1610612763,1610612756,136,106,30,13,9,5663
22200658,1610612739,1610612740,113,103,10,13,3,3940
22200659,1610612752,1610612761,121,123,-2,20,14,5261
22200660,1610612764,1610612744,118,127,-9,6,9,4464
22200656,1610612766,1610612738,118,130,-12,13,14,3866
22200662,1610612750,1610612762,125,126,-1,16,14,5062
22200657,1610612749,1610612754,132,119,13,9,4,4954
22200666,1610612759,1610612751,106,98,8,13,10,5159
22200665,1610612749,1610612761,130,122,8,6,20,4961
22200667,1610612743,1610612757,122,113,9,11,5,4357
22200668,1610612746,1610612755,110,120,-10,8,8,4655
22200677,1610612747,1610612758,111,116,-5,6,14,4758
22200676,1610612743,1610612750,122,118,4,8,12,4350
22200675,1610612762,1610612746,126,103,23,9,16,4662
22200674,1610612760,1610612754,126,106,20,13,20,5460
22200671,1610612745,1610612766,117,122,-5,12,11,4566
22200673,1610612740,1610612748,98,124,-26,9,10,4048
22200672,1610612763,1610612739,115,114,1,15,11,3963
22200670,1610612742,1610612737,122,130,-8,10,7,3742
22200669,1610612752,1610612764,105,116,-11,20,18,5264
22200679,1610612738,1610612744,121,118,3,18,8,3844
22200682,1610612757,1610612755,95,105,-10,13,5,5557
22200681,1610612756,1610612751,117,112,5,12,2,5156
22200678,1610612765,1610612741,108,126,-18,17,11,4165
22200680,1610612750,1610612761,128,126,2,8,8,5061
22200683,1610612753,1610612740,123,110,13,5,11,4053
22200684,1610612737,1610612752,139,124,15,14,9,3752
22200685,1610612739,1610612744,114,120,-6,10,14,3944
22200686,1610612742,1610612748,115,90,25,10,5,4248
22200687,1610612759,1610612746,126,131,-5,12,11,4659
22200689,1610612762,1610612751,106,117,-11,13,6,5162
22200688,1610612743,1610612754,134,111,23,12,16,4354
22200690,1610612747,1610612763,122,121,1,10,24,4763
22200691,1610612758,1610612760,118,113,5,13,8,5860
22200693,1610612764,1610612753,138,118,20,9,9,5364
22200695,1610612739,1610612749,114,102,12,9,7,3949
22200694,1610612737,1610612766,118,122,-4,6,6,3766
22200696,1610612750,1610612745,113,104,9,3,15,4550
22200697,1610612756,1610612754,112,107,5,14,11,5456
22200698,1610612758,1610612755,127,129,-2,4,16,5558
22200692,1610612761,1610612738,104,106,-2,6,11,3861
22200699,1610612748,1610612740,100,96,4,12,8,4048
22200705,1610612757,1610612747,112,121,-9,11,10,4757
22200701,1610612742,1610612746,98,112,-14,12,9,4246
22200702,1610612743,1610612760,99,101,-2,10,14,4360
22200700,1610612761,1610612752,125,116,9,17,14,5261
22200704,1610612744,1610612751,116,120,-4,10,9,4451
22200703,1610612756,1610612763,112,110,2,6,15,5663
22200707,1610612753,1610612738,113,98,15,8,8,3853
22200706,1610612765,1610612749,130,150,-20,11,13,4965
22200711,1610612757,1610612759,147,127,20,8,14,5759
22200712,1610612758,1610612763,133,100,33,10,10,5863
22200708,1610612741,1610612737,111,100,11,15,9,3741
22200710,1610612762,1610612766,120,102,18,9,11,6266
22200709,1610612745,1610612750,119,114,5,12,12,4550
22200713,1610612754,1610612741,116,110,6,14,11,4154
22200718,1610612756,1610612766,128,97,31,15,10,5666
22200715,1610612752,1610612739,105,103,2,9,10,3952
22200719,1610612747,1610612746,115,133,-18,9,7,4647
22200717,1610612742,1610612764,126,127,-1,8,6,4264
22200716,1610612740,1610612743,98,99,-1,14,7,4043
22200714,1610612748,1610612738,98,95,3,14,5,3848
22200726,1610612744,1610612763,122,120,2,14,11,4463
22200727,1610612757,1610612762,134,124,10,6,8,5762
22200720,1610612753,1610612754,126,120,6,9,10,5354
22200729,1610612747,1610612759,113,104,9,11,17,4759
22200721,1610612755,1610612751,137,133,4,11,6,5155
22200725,1610612760,1610612737,132,137,-5,12,11,3760
22200723,1610612749,1610612743,107,99,8,7,15,4349
22200724,1610612740,1610612750,102,111,-9,8,4,4050
22200722,1610612745,1610612764,103,108,-5,17,15,4564
22200728,1610612758,1610612761,95,113,-18,4,11,5861
22200734,1610612756,1610612742,95,99,-4,13,7,4256
22200733,1610612745,1610612739,95,113,-18,10,11,3945
22200732,1610612766,1610612741,111,96,15,6,7,4166
22200730,1610612738,1610612752,117,120,-3,15,10,3852
22200735,1610612746,1610612759,138,100,38,6,11,4659
22200731,1610612751,1610612765,122,130,-8,15,15,5165
22200738,1610612748,1610612753,110,105,5,5,2,4853
22200737,1610612750,1610612763,111,100,11,9,15,5063
22200740,1610612744,1610612761,129,117,12,5,14,4461
22200736,1610612754,1610612749,131,141,-10,5,14,4954
22200739,1610612760,1610612739,112,100,12,10,11,3960
22200743,1610612765,1610612745,114,117,-3,8,16,4565
22200744,1610612753,1610612741,109,128,-19,6,4,4153
22200751,1610612757,1610612761,105,123,-18,3,15,5761
22200745,1610612737,1610612746,113,120,-7,15,6,3746
22200749,1610612738,1610612747,125,121,4,7,11,3847
22200750,1610612762,1610612742,108,100,8,13,7,4262
22200746,1610612750,1610612758,117,110,7,9,10,5058
22200748,1610612759,1610612756,118,128,-10,17,17,5659
22200747,1610612740,1610612764,103,113,-10,8,13,4064
22200741,1610612755,1610612743,126,119,7,12,6,4355
22200742,1610612751,1610612752,122,115,7,9,14,5152
22200753,1610612763,1610612754,112,100,12,15,11,5463
22200755,1610612749,1610612740,135,110,25,12,8,4049
22200752,1610612766,1610612748,122,117,5,11,10,4866
22200754,1610612739,1610612746,122,99,23,4,15,3946
22200756,1610612755,1610612753,109,119,-10,8,15,5355
22200760,1610612759,1610612764,106,127,-21,14,5,5964
22200757,1610612751,1610612747,121,104,17,12,16,4751
22200759,1610612760,1610612744,120,128,-8,8,6,4460
22200758,1610612750,1610612758,111,118,-7,8,10,5058
22200763,1610612757,1610612737,129,125,4,3,17,3757
22200761,1610612742,1610612765,111,105,6,9,9,4265
22200762,1610612756,1610612761,114,106,8,13,16,5661
22200768,1610612743,1610612740,122,113,9,10,8,4043
22200767,1610612749,1610612766,124,115,9,16,18,4966
22200766,1610612741,1610612746,103,108,-5,6,11,4146
22200765,1610612752,1610612747,123,129,-6,13,11,4752
22200764,1610612739,1610612748,97,100,-3,5,9,3948
22200775,1610612759,1610612758,109,119,-10,8,6,5859
22200774,1610612750,1610612744,119,114,5,10,9,4450
22200777,1610612756,1610612737,100,132,-32,12,6,3756
22200776,1610612762,1610612761,131,128,3,13,25,6162
22200770,1610612755,1610612753,105,94,11,7,12,5355
22200773,1610612745,1610612760,112,106,6,24,24,4560
22200771,1610612763,1610612757,112,122,-10,12,9,5763
22200772,1610612738,1610612751,139,96,43,11,5,3851
22200783,1610612743,1610612744,134,117,17,7,10,4344
22200784,1610612749,1610612746,106,105,1,8,9,4649
22200781,1610612741,1610612766,114,98,16,8,16,4166
22200780,1610612752,1610612748,106,104,2,11,9,4852
22200782,1610612742,1610612740,111,106,5,6,12,4042
22200778,1610612754,1610612747,111,112,-1,6,13,4754
22200779,1610612739,1610612763,128,113,15,9,11,3963
22200790,1610612750,1610612753,120,127,-7,12,13,5053
22200789,1610612745,1610612761,111,117,-6,6,13,4561
22200791,1610612759,1610612755,125,137,-12,9,14,5559
22200788,1610612738,1610612756,94,106,-12,3,10,3856
22200785,1610612765,1610612766,118,112,6,12,8,6566
22200787,1610612764,1610612757,116,124,-8,9,11,5764
22200786,1610612754,1610612758,107,104,3,9,11,5458
22200792,1610612762,1610612737,108,115,-7,13,14,3762
22200796,1610612741,1610612757,129,121,8,6,7,4157
22200799,1610612760,1610612745,153,121,32,9,9,4560
22200797,1610612749,1610612748,123,115,8,10,13,4849
22200800,1610612744,1610612742,119,113,6,5,10,4244
22200801,1610612743,1610612737,128,108,20,12,10,3743
22200793,1610612751,1610612764,125,123,2,10,6,5164
22200795,1610612752,1610612746,128,134,-6,10,9,4652
22200794,1610612765,1610612756,100,116,-16,9,10,5665
22200798,1610612740,1610612747,131,126,5,14,13,4047
22200805,1610612763,1610612761,103,106,-3,8,11,6163
22200804,1610612752,1610612755,108,97,11,14,8,5255
22200807,1610612740,1610612758,136,104,32,12,11,4058
22200806,1610612750,1610612743,128,98,30,5,3,4350
22200803,1610612754,1610612739,103,122,-19,12,8,3954
22200802,1610612766,1610612753,113,119,-6,8,18,5366
22200812,1610612745,1610612758,120,140,-20,11,7,4558
