"","Home ID","Away ID","Game_id","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"52",1610612740,1610612742,22200053,8,113,111,-0.5,2,4,11,0.579,0.5,0.444444444,0.307692308,7,8,375,242,26,13,50,20,85,72.33333333,4.5,4.333333333,10.75,7.333333333,4660,1610612746,1610612760,111,113,0.5,0.579,11,4,0.307692308,0.444444444,242,375,13,26,20,50,72.33333333,85,4.333333333,4.5,7.333333333,10.75
"53",1610612756,1610612744,22200055,8,134,105,3.5,29,14,10,0.511,0.451,0.413793103,0.285714286,8,7,330,376,23,28,30,24,93.75,80.66666667,6.5,4.333333333,12.5,6.666666667,6465,1610612764,1610612765,105,134,0.451,0.511,10,14,0.285714286,0.413793103,376,330,28,23,24,30,80.66666667,93.75,4.333333333,6.5,6.666666667,12.5
"54",1610612760,1610612746,22200054,8,108,94,-2,14,21,7,0.382,0.422,0.133333333,0.322580645,12,5,331,309,23,25,37,24,82.5,94,5.75,7,7.5,6,4042,1610612740,1610612742,94,108,0.422,0.382,7,21,0.322580645,0.133333333,309,331,25,23,24,37,94,82.5,7,5.75,6,7.5
"55",1610612764,1610612765,22200052,8,120,99,7.5,21,9,11,0.518,0.409,0.303030303,0.285714286,7,6,323,334,22,22,23,42,82.75,77.25,5.75,6.25,9.25,6,4456,1610612744,1610612756,99,120,0.409,0.518,11,9,0.285714286,0.303030303,334,323,22,22,42,23,77.25,82.75,6.25,5.75,6,9.25
"56",1610612739,1610612753,22200056,9,103,92,9.5,11,12,10,0.414,0.432,0.303030303,0.25,6,6,350,429,19,25,30,45,71.66666667,85.25,3.333333333,4.25,5,7.75,4347,1610612743,1610612747,92,103,0.432,0.414,10,12,0.25,0.303030303,429,350,25,19,45,30,85.25,71.66666667,4.25,3.333333333,7.75,5
"57",1610612741,1610612754,22200061,9,124,109,4.5,15,9,6,0.494,0.43,0.533333333,0.4,10,5,432,471,36,25,46,60,87.5,85.8,4.75,5,7.5,9,5266,1610612752,1610612766,109,124,0.43,0.494,6,9,0.4,0.533333333,471,432,25,36,60,46,85.8,87.5,5,4.75,9,7.5
"58",1610612743,1610612747,22200064,9,110,99,7.5,11,9,7,0.457,0.444,0.264705882,0.266666667,12,8,462,310,29,34,41,27,80.75,83.5,5.5,5.5,5.75,10.5,4562,1610612745,1610612762,99,110,0.444,0.457,7,9,0.266666667,0.264705882,310,462,34,29,27,41,83.5,80.75,5.5,5.5,10.5,5.75
"59",1610612749,1610612751,22200060,9,110,99,3,11,14,7,0.443,0.395,0.277777778,0.259259259,8,7,215,341,10,17,15,31,92.4,77.5,5.8,8.5,8.2,6.75,4857,1610612748,1610612757,99,110,0.395,0.443,7,14,0.259259259,0.277777778,341,215,17,10,31,15,77.5,92.4,8.5,5.8,6.75,8.2
"60",1610612750,1610612759,22200062,9,134,122,8.5,12,0,14,0.65,0.453,0.588235294,0.444444444,9,6,463,468,27,33,57,47,93.8,82.8,5.6,4.2,9.2,6.6,5059,1610612750,1610612759,134,122,0.65,0.453,0,14,0.588235294,0.444444444,463,468,27,33,57,47,93.8,82.8,5.6,4.2,9.2,6.6
"61",1610612752,1610612766,22200058,9,134,131,8,3,12,9,0.536,0.495,0.366666667,0.419354839,5,9,357,367,18,23,47,39,86.6,83.5,5.6,7.5,10.6,7.25,3765,1610612737,1610612765,131,134,0.495,0.536,9,12,0.419354839,0.366666667,367,357,23,18,39,47,83.5,86.6,7.5,5.6,7.25,10.6
