player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jaden Ivey,iveyja01,2023,3943,1873,-1.239480115865268,-2.227494245606706,-3.466974361471974,-4.215813529522323,-5.098241583772484,-9.314055113294806,-1.856302671341232,-2.9109177963663,-4.767220467707531,-1.950102966315522,-1.950102966315522,0,-1.601191767276407,-2.554393244722642,-4.155585011999049,1.175171138105612
Frank Jackson,jacksfr01,2023,9,5,-26.6497478905565,3.697455276076648,-22.95229261447985,-.5374790315020718,-7.368899475674898,-7.906378507176969,-22.76896290443194,1.682295443069312,-21.08666746136263,-.0451745264988605,-.0451745264988605,0,-14.01405603660061,-3.269164713839755,-17.28322075044036,-3.458346900000312
Isaiah Jackson,jacksis01,2023,1722,796,-2.651575898177388,-1.281878427236606,-3.933454325413994,-3.106675534976151,-1.229874781046435,-4.336550316022586,-2.894568275314601,-1.30456787293737,-4.199136148251971,-.5893034813360241,-.5893034813360241,0,-2.995249579316027,-1.276856663233418,-4.272106242549444,.1340605003331063
Jaren Jackson Jr.,jacksja02,2023,3000,1388,.1457732730589829,2.717833425026372,2.863606698085354,3.221489656286707,5.907638568085829,9.129128224372534,.7936208515689916,3.482915366731218,4.27653621830021,5.02110077310334,5.02110077310334,0,.6705387403436712,3.788011716591936,4.458550456935607,.9172225815575975
Justin Jackson,jacksju01,2023,226,107,-2.876655482767288,.8309921975376293,-2.045663285229659,-15.99375484911957,-2.052333868640598,-18.04608871776017,-5.871207952652137,.2065153181586166,-5.66469263449352,-.1590021383880479,-.1590021383880479,0,-3.686428290382813,-1.06173617513161,-4.748164465514423,-.0729764264356183
Quenton Jackson,jacksqu01,2023,18,8,6.607820955872609,8.761896213163915,15.36971716903652,-3.976585499820236,23.92888051339463,19.9522950135744,4.77631359878921,12.44197645431676,17.21829005310597,.0805357051239534,.0805357051239534,0,3.923633618898312,7.09883031725449,11.0224639361528,-1.197699736300332
Reggie Jackson,jacksre01,2023,3119,1519,-2.282918004454694,-.2202313111562159,-2.50314931561091,-3.755230336692737,-.7693495622946004,-4.524579898987338,-2.725038403308806,-.3570672624287921,-3.082105665737598,-.2530437290980007,-.2530437290980007,0,-3.332615917788386,-.2994581570777133,-3.632074074866099,-.49087120099899
LeBron James,jamesle01,2023,3635,1695,4.209156784074291,-.496368214628991,3.7127885694453,4.454350454967274,2.281083718023275,6.73543417299055,4.559989694817927,.0385014412643303,4.598491136082257,6.376697437315991,6.376697437315991,0,3.720689482865547,-.6544525679120363,3.06623691495351,.346388065927359
Ty Jerome,jeromty01,2023,1735,814,.21203131812659,-2.652762683361213,-2.440731365234623,-.1036518837084959,-4.660923226353805,-4.764575110062301,.1754853991489086,-3.235070389623277,-3.059584990474368,-.1267095197898511,-.1267095197898511,0,.0050421939826801,-2.491704222205327,-2.486662028222647,-1.46212906416911
Isaiah Joe,joeis01,2023,2355,1090,3.15236296992395,.1042391896155732,3.256602159539523,2.879542411928829,2.133686199402137,5.013228611330966,3.282839595492927,.5149477633893275,3.797787358882255,3.642734774567178,3.642734774567178,0,2.985355275047004,.4016956048258059,3.387050879872811,.0386050027774296
